season_id,title,score,eps,area,status,season_type
42921,新猫和老鼠 第四季,9.7,26,海外,全26话,番剧
38931,月光下的异世界之旅,9.1,12,海外,全12话,番剧
33805,炎炎消防队 贰之章,9.1,24,海外,全24话,番剧
1177,CLANNAD,9.9,23,海外,全23话,番剧
36174,工作细胞 第二季,9.7,8,海外,全8话,番剧
36177,工作细胞BLACK,9.8,13,海外,全13话,番剧
497,机动战士高达SEED HD,9.6,48,海外,全48话,番剧
5989,月色真美,9.8,12,海外,全12话,番剧
28544,我，不是说了能力要平均值么！,8.2,12,海外,全12话,番剧
4687,犬夜叉完结篇,9.8,26,海外,全26话,番剧
44870,跃动青春,9.9,12,海外,全12话,番剧
2731,野良神,9.5,12,海外,全12话,番剧
38922,转生成为了只有乙女游戏破灭Flag的邪恶大小姐 第二季,9.6,13,海外,全13话,番剧
687,樱花庄的宠物女孩,9.7,24,海外,全24话,番剧
28016,女高中生的虚度日常,9.8,12,海外,全12话,番剧
28002,某科学的一方通行,6.7,12,海外,全12话,番剧
38384,迪迦奥特曼,9.9,52,海外,全52话,番剧
38952,现实主义勇者的王国再建记,8.5,26,海外,全26话,番剧
964,魔法禁书目录 第二季,9.2,24,海外,全24话,番剧
23878,女神异闻录5 动画版,9.1,26,海外,全26话,番剧
3495,线上游戏的队友不可能是女生？,9.0,12,海外,全12话,番剧
53,月刊少女野崎君,9.8,12,海外,全12话,番剧
48831,英雄联盟：双城之战 第二季,9.3,9,海外,全9话,番剧
45003,航海王：红发歌姬,8.5,0,海外,2022年8月6日上映,番剧
39424,关于前辈很烦人的事,9.8,12,海外,全12话,番剧
28006,擅长捉弄的高木同学 第二季,9.9,12,海外,全12话,番剧
499,机动战士高达SEED Destiny HD,9.0,50,海外,全50话,番剧
41422,骸骨骑士大人奇幻世界冒险中,8.6,12,海外,全12话,番剧
1523,元气少女缘结神◎,9.7,12,海外,全12话,番剧
36191,好比是最终迷宫前的少年到新手村生活一般的故事,7.8,12,海外,全12话,番剧
42176,莉可丽丝,9.2,13,海外,全13话,番剧
40516,与变成了异世界美少女的好友一起冒险,9.7,12,海外,全12话,番剧
48297,小猪佩奇 第十季 中文配音,9.1,26,海外,全26话,番剧
2725,K RETURN OF KINGS,9.3,13,海外,全13话,番剧
41432,约会大作战 第四季,9.8,12,海外,全12话,番剧
44776,假面骑士极狐,7.6,49,海外,全49话,番剧
1660,夏目友人帐,9.8,13,海外,全13话,番剧
41591,恋爱游戏世界对路人角色很不友好,9.1,12,海外,全12话,番剧
1553,幻界战线,9.6,12,海外,全12话,番剧
